Source,Target,Type,Id,Label,timeset,Weight
5751292,5349199,Directed,184,,,1
5751292,6111900,Directed,185,,,1
5751292,7066177,Directed,186,,,1
5751292,16547019,Directed,187,,,1
5751292,24337515,Directed,188,,,1
5751292,31321482,Directed,189,,,1
5751292,37265069,Directed,190,,,1
5751292,39207926,Directed,191,,,1
5751292,41269481,Directed,192,,,1
5751292,74613242,Directed,193,,,1
5751292,100070218,Directed,194,,,1
5751292,138282840,Directed,195,,,1
5751292,150562623,Directed,196,,,1
5751292,285604117,Directed,197,,,1
5938997,52418947,Directed,198,,,1
5938997,54447453,Directed,199,,,1
6111900,3864197,Directed,200,,,1
6111900,5349199,Directed,201,,,1
6111900,5751292,Directed,202,,,1
6111900,7066177,Directed,203,,,1
6111900,18831551,Directed,204,,,1
6111900,39207926,Directed,205,,,1
6111900,41269481,Directed,206,,,1
6111900,74613242,Directed,207,,,1
6111900,100070218,Directed,208,,,1
6111900,150562623,Directed,209,,,1
6218698,413300,Directed,210,,,1
6218698,18831551,Directed,211,,,1
6218698,54447453,Directed,212,,,1
6308154,4422316,Directed,213,,,1
6308154,7372677,Directed,214,,,1
6308154,9667022,Directed,215,,,1
6308154,65225390,Directed,216,,,1
6407680,3363362,Directed,217,,,1
6407680,3734345,Directed,218,,,1
6407680,4311406,Directed,219,,,1
6407680,6769254,Directed,220,,,1
6407680,7038577,Directed,221,,,1
6407680,7815454,Directed,222,,,1
6407680,8408976,Directed,224,,,1
6407680,8660003,Directed,225,,,1
6407680,9023364,Directed,226,,,1
6407680,10020082,Directed,227,,,1
6407680,14441649,Directed,229,,,1
6407680,14870878,Directed,230,,,1
6407680,19642021,Directed,231,,,1
42044934,562917252,Directed,2155,,,1
6407680,24032841,Directed,233,,,1
6407680,28900519,Directed,234,,,1
6407680,62561894,Directed,235,,,1
562917251,193946764,Directed,2100,,,1
6407680,307363013,Directed,237,,,1
6516489,5599901,Directed,239,,,1
6516489,12789381,Directed,240,,,1
6516489,15803716,Directed,241,,,1
6516489,19045333,Directed,242,,,1
6516489,21547742,Directed,243,,,1
6516489,22662800,Directed,244,,,1
6516489,27625112,Directed,245,,,1
6516489,29424858,Directed,246,,,1
6516489,45240815,Directed,247,,,1
6516489,52055451,Directed,248,,,1
6516489,100374520,Directed,249,,,1
6516489,152061184,Directed,250,,,1
6516489,193946764,Directed,251,,,1
6516489,205312651,Directed,252,,,1
6516489,220099966,Directed,253,,,1
6516489,405613416,Directed,254,,,1
6769254,3363362,Directed,255,,,1
6769254,3848664,Directed,256,,,1
6769254,4311406,Directed,257,,,1
6769254,4422316,Directed,258,,,1
6769254,5325067,Directed,259,,,1
6769254,6407680,Directed,260,,,1
6769254,7038577,Directed,261,,,1
6769254,7278378,Directed,262,,,1
6769254,7372677,Directed,263,,,1
6769254,8660003,Directed,265,,,1
6769254,9023364,Directed,266,,,1
6769254,9173772,Directed,268,,,1
6769254,9667022,Directed,269,,,1
6769254,10020082,Directed,270,,,1
6769254,14441649,Directed,271,,,1
6769254,14870878,Directed,272,,,1
6769254,19642021,Directed,273,,,1
19045333,562917252,Directed,2156,,,1
6769254,28900519,Directed,275,,,1
6769254,65225390,Directed,277,,,1
129500474,562917251,Directed,2110,,,1
562917251,42044934,Directed,2105,,,1
562917251,129500474,Directed,2101,,,1
6769254,307363013,Directed,281,,,1
7038577,3538796,Directed,283,,,1
7038577,4311406,Directed,284,,,1
7038577,6407680,Directed,285,,,1
7038577,6769254,Directed,286,,,1
7038577,7815454,Directed,287,,,1
7038577,8644937,Directed,289,,,1
7038577,14441649,Directed,290,,,1
7038577,14870878,Directed,291,,,1
7038577,19642021,Directed,292,,,1
5599901,562917252,Directed,2157,,,1
7038577,20821771,Directed,294,,,1
7038577,28900519,Directed,295,,,1
72454202,562917251,Directed,2111,,,1
7038577,142639387,Directed,297,,,1
562917251,72454202,Directed,2102,,,1
7038577,307363013,Directed,299,,,1
7066177,3864197,Directed,301,,,1
7066177,3905784,Directed,302,,,1
7066177,5349199,Directed,303,,,1
7066177,5751292,Directed,304,,,1
7066177,6111900,Directed,305,,,1
7066177,9433513,Directed,306,,,1
7066177,16547019,Directed,307,,,1
7066177,18831551,Directed,308,,,1
7066177,24337515,Directed,309,,,1
7066177,31321482,Directed,310,,,1
7066177,37265069,Directed,311,,,1
7066177,39207926,Directed,312,,,1
7066177,41269481,Directed,313,,,1
7066177,74613242,Directed,314,,,1
7066177,100070218,Directed,315,,,1
7066177,138282840,Directed,316,,,1
7066177,150562623,Directed,317,,,1
7066177,285604117,Directed,318,,,1
7278378,6769254,Directed,319,,,1
7278378,7815454,Directed,320,,,1
